Nombre,Subestacion,Nodo,S[MVA],PF[cos],P[MW],Q[MW]
lod_4120_1,CORPUS CHRISTI 12_115 kV/CORPUS CHRISTI 12 0/CORPUS CHRISTI 12_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 12 0,48.355431,0.962126,46.523998,13.182000
lod_4100_1,CORPUS CHRISTI 13_115 kV/CORPUS CHRISTI 13 0/CORPUS CHRISTI 13_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 13 0,52.592880,0.962126,50.601002,14.337000
lod_4168_1,CORPUS CHRISTI 14_115 kV/CORPUS CHRISTI 14 0/CORPUS CHRISTI 14_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 14 0,9.214030,0.962120,8.865000,2.512000
lod_4150_1,CORPUS CHRISTI 15_115 kV/CORPUS CHRISTI 15 0/CORPUS CHRISTI 15_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 15 0,13.021262,0.962119,12.528000,3.550000
lod_4020_1,CORPUS CHRISTI 16_115 kV/CORPUS CHRISTI 16 0/CORPUS CHRISTI 16_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 16 0,122.450516,0.962127,117.813004,33.380001
lod_4069_1,CORPUS CHRISTI 17_115 kV/CORPUS CHRISTI 17 0/CORPUS CHRISTI 17_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 17 0,4.405851,0.962130,4.239000,1.201000
lod_4035_1,CORPUS CHRISTI 18_115 kV/CORPUS CHRISTI 18 0/CORPUS CHRISTI 18_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 18 0,82.277122,0.962127,79.161003,22.429001
lod_4064_1,CORPUS CHRISTI 2_115 kV/CORPUS CHRISTI 2 0/CORPUS CHRISTI 2_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 2 0,9.164033,0.962131,8.817000,2.498000
lod_4017_1,CORPUS CHRISTI 4_115 kV/CORPUS CHRISTI 4 0/CORPUS CHRISTI 4_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 4 0,93.087547,0.962126,89.561996,25.375999
lod_4087_1,CORPUS CHRISTI 5_115 kV/CORPUS CHRISTI 5 0/CORPUS CHRISTI 5_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 5 0,2.163983,0.962115,2.082000,0.590000
lod_4156_1,CORPUS CHRISTI 6_115 kV/CORPUS CHRISTI 6 0/CORPUS CHRISTI 6_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 6 0,112.260803,0.962126,108.009003,30.603001
lod_4123_1,CORPUS CHRISTI 7_115 kV/CORPUS CHRISTI 7 0/CORPUS CHRISTI 7_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 7 0,94.057190,0.962127,90.495003,25.639999
lod_4078_1,CORPUS CHRISTI 8_115 kV/CORPUS CHRISTI 8 0/CORPUS CHRISTI 8_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 8 0,87.381310,0.962128,84.071999,23.820000
lod_4055_1,CORPUS CHRISTI 9_115 kV/CORPUS CHRISTI 9 0/CORPUS CHRISTI 9_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 9 0,1.671407,0.962064,1.608000,0.456000
lod_4055_2,CORPUS CHRISTI 9_115 kV/CORPUS CHRISTI 9 0/CORPUS CHRISTI 9_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 9 0,16.809542,0.962132,16.173000,4.582000
lod_4187_1,COTULLA_115 kV/COTULLA 0/COTULLA_115 kV/COTUL_1/115.000000,COTULLA 0,15.652824,0.962127,15.060000,4.267000
lod_4036_1,CRYSTAL CITY_115 kV/CRYSTAL CITY 0/CRYSTAL CITY_115 kV/CRYST_1/115.000000,CRYSTAL CITY 0,9.703449,0.962132,9.336000,2.645000
lod_4036_2,CRYSTAL CITY_115 kV/CRYSTAL CITY 0/CRYSTAL CITY_115 kV/CRYST_1/115.000000,CRYSTAL CITY 0,26.746914,0.962130,25.733999,7.291000
lod_4143_1,DILLEY_115 kV/DILLEY 0/DILLEY_115 kV/DILLE_1/115.000000,DILLEY 0,14.926322,0.962126,14.361000,4.069000
lod_4107_1,DONNA_115 kV/DONNA 0/DONNA_115 kV/DONNA_1/115.000000,DONNA 0,123.021240,0.962127,118.362000,33.535999
lod_4015_1,EAGLE PASS_115 kV/EAGLE PASS 1/EAGLE PASS_115 kV/EAGLE_1/115.000000,EAGLE PASS 1,166.097763,0.962126,159.807007,45.278999
lod_4021_1,EDCOUCH_115 kV/EDCOUCH 0/EDCOUCH_115 kV/EDCOU_1/115.000000,EDCOUCH 0,33.229389,0.962130,31.971001,9.058000
lod_4103_1,EDINBURG 1_115 kV/EDINBURG 1 0/EDINBURG 1_115 kV/EDINB_1/115.000000,EDINBURG 1 0,197.353409,0.962127,189.878998,53.799000
lod_4013_1,EDINBURG 2_115 kV/EDINBURG 2 0/EDINBURG 2_115 kV/EDINB_1/115.000000,EDINBURG 2 0,95.984360,0.962125,92.348999,26.166000
lod_4003_1,EDINBURG 3_115 kV/EDINBURG 3 0/EDINBURG 3_115 kV/EDINB_1/115.000000,EDINBURG 3 0,132.303680,0.962127,127.292999,36.066002
lod_4068_1,ELSA_115 kV/ELSA 0/ELSA_115 kV/ELSA__1/115.000000,ELSA 0,2.750239,0.962098,2.646000,0.750000
lod_4068_2,ELSA_115 kV/ELSA 0/ELSA_115 kV/ELSA__1/115.000000,ELSA 0,26.338539,0.962126,25.341000,7.180000
lod_4022_1,ENCINAL_115 kV/ENCINAL 0/ENCINAL_115 kV/ENCIN_1/115.000000,ENCINAL 0,5.784130,0.962115,5.565000,1.577000
lod_4043_1,FALCON HEIGHTS 2_115 kV/FALCON HEIGHTS 2 0/FALCON HEIGHTS 2_115 kV/FALCO_1/115.000000,FALCON HEIGHTS 2 0,2.572358,0.962152,2.475000,0.701000
lod_4124_1,FALFURRIAS_115 kV/FALFURRIAS 0/FALFURRIAS_115 kV/FALFU_1/115.000000,FALFURRIAS 0,3.264656,0.962123,3.141000,0.890000
lod_4124_2,FALFURRIAS_115 kV/FALFURRIAS 0/FALFURRIAS_115 kV/FALFU_1/115.000000,FALFURRIAS 0,22.079252,0.962125,21.243000,6.019000
lod_4130_1,FREER_115 kV/FREER 0/FREER_115 kV/FREER_1/115.000000,FREER 0,9.856331,0.962123,9.483000,2.687000
lod_4118_1,GEORGE WEST_115 kV/GEORGE WEST 0/GEORGE WEST_115 kV/GEORG_1/115.000000,GEORGE WEST 0,14.427426,0.962126,13.881000,3.933000
lod_4178_1,GOLIAD_115 kV/GOLIAD 0/GOLIAD_115 kV/GOLIA_1/115.000000,GOLIAD 0,1.122513,0.962127,1.080000,0.306000
lod_4178_2,GOLIAD_115 kV/GOLIAD 0/GOLIAD_115 kV/GOLIA_1/115.000000,GOLIAD 0,17.021626,0.962129,16.377001,4.640000
lod_4164_1,GRULLA_115 kV/GRULLA 0/GRULLA_115 kV/GRULL_1/115.000000,GRULLA 0,2.104781,0.962096,2.025000,0.574000
lod_4167_1,HARGILL_115 kV/HARGILL 0/HARGILL_115 kV/HARGI_1/115.000000,HARGILL 0,2.428953,0.962143,2.337000,0.662000
lod_4167_2,HARGILL_115 kV/HARGILL 0/HARGILL_115 kV/HARGI_1/115.000000,HARGILL 0,3.086775,0.962169,2.970000,0.841000
lod_4067_1,HARLINGEN 1_115 kV/HARLINGEN 1 0/HARLINGEN 1_115 kV/HARLI_1/115.000000,HARLINGEN 1 0,165.732788,0.962127,159.455994,45.179001
lod_4111_1,HARLINGEN 2_115 kV/HARLINGEN 2 0/HARLINGEN 2_115 kV/HARLI_1/115.000000,HARLINGEN 2 0,1.811653,0.962105,1.743000,0.494000
lod_4111_2,HARLINGEN 2_115 kV/HARLINGEN 2 0/HARLINGEN 2_115 kV/HARLI_1/115.000000,HARLINGEN 2 0,106.361153,0.962128,102.333000,28.993999
lod_4011_1,HEBBRONVILLE_115 kV/HEBBRONVILLE 0/HEBBRONVILLE_115 kV/HEBBR_1/115.000000,HEBBRONVILLE 0,16.681658,0.962135,16.049999,4.547000
lod_4034_1,HIDALGO_115 kV/HIDALGO 0/HIDALGO_115 kV/HIDAL_1/115.000000,HIDALGO 0,39.122719,0.962126,37.640999,10.665000
lod_4108_1,INGLESIDE_115 kV/INGLESIDE 0/INGLESIDE_115 kV/INGLE_1/115.000000,INGLESIDE 0,29.456633,0.962126,28.341000,8.030000
lod_4117_1,JOURDANTON_115 kV/JOURDANTON 0/JOURDANTON_115 kV/JOURD_1/115.000000,JOURDANTON 0,19.634504,0.962133,18.891001,5.352000
lod_4032_1,KINGSVILLE_115 kV/KINGSVILLE 0/KINGSVILLE_115 kV/KINGS_1/115.000000,KINGSVILLE 0,94.986572,0.962125,91.389000,25.893999
lod_4048_1,LA JOYA_115 kV/LA JOYA 0/LA JOYA_115 kV/LA JO_1/115.000000,LA JOYA 0,13.619883,0.962123,13.104000,3.713000
lod_4175_1,LAREDO 2_115 kV/LAREDO 2 0/LAREDO 2_115 kV/LARED_1/115.000000,LAREDO 2 0,2.020578,0.962101,1.944000,0.551000
lod_4175_2,LAREDO 2_115 kV/LAREDO 2 0/LAREDO 2_115 kV/LARED_1/115.000000,LAREDO 2 0,1.259600,0.962210,1.212000,0.343000
lod_4101_1,LAREDO 3_115 kV/LAREDO 3 0/LAREDO 3_115 kV/LARED_1/115.000000,LAREDO 3 0,133.183075,0.962127,128.139008,36.306000
lod_4147_1,LAREDO 4_115 kV/LAREDO 4 1/LAREDO 4_115 kV/LARED_1/115.000000,LAREDO 4 1,201.266678,0.962126,193.643997,54.866001
lod_4190_1,LAREDO 5_115 kV/LAREDO 5 0/LAREDO 5_115 kV/LARED_1/115.000000,LAREDO 5 0,137.673111,0.962127,132.459000,37.529999
lod_4033_1,LAREDO 6_115 kV/LAREDO 6 0/LAREDO 6_115 kV/LARED_1/115.000000,LAREDO 6 0,131.218811,0.962126,126.249001,35.771000
lod_4005_1,LAREDO 7_115 kV/LAREDO 7 1/LAREDO 7_115 kV/LARED_1/115.000000,LAREDO 7 1,170.600174,0.962127,164.139008,46.506001
lod_4002_1,LAUGHLIN A F B_115 kV/LAUGHLIN A F B 0/LAUGHLIN A F B_115 kV/LAUGH_1/115.000000,LAUGHLIN A F B 0,1.047788,0.962027,1.008000,0.286000
lod_4110_1,LOS FRESNOS_115 kV/LOS FRESNOS 0/LOS FRESNOS_115 kV/LOS F_1/115.000000,LOS FRESNOS 0,59.602406,0.962126,57.345001,16.247999
lod_4174_1,LYTLE_115 kV/LYTLE 0/LYTLE_115 kV/LYTLE_1/115.000000,LYTLE 0,19.918428,0.962124,19.164000,5.430000
lod_4169_1,MATHIS_115 kV/MATHIS 0/MATHIS_115 kV/MATHI_1/115.000000,MATHIS 0,28.770651,0.962126,27.681000,7.843000
lod_4122_1,MCALLEN 1_115 kV/MCALLEN 1 0/MCALLEN 1_115 kV/MCALL_1/115.000000,MCALLEN 1 0,151.860565,0.962126,146.108994,41.397999
lod_4007_1,MCALLEN 2_115 kV/MCALLEN 2 0/MCALLEN 2_115 kV/MCALL_1/115.000000,MCALLEN 2 0,190.886459,0.962127,183.656998,52.035999
lod_4027_1,MCALLEN 3_115 kV/MCALLEN 3 0/MCALLEN 3_115 kV/MCALL_1/115.000000,MCALLEN 3 0,67.681282,0.962127,65.117996,18.450001
lod_4019_1,MERCEDES_115 kV/MERCEDES 0/MERCEDES_115 kV/MERCE_1/115.000000,MERCEDES 0,39.758698,0.962129,38.252998,10.838000
lod_4019_2,MERCEDES_115 kV/MERCEDES 0/MERCEDES_115 kV/MERCE_1/115.000000,MERCEDES 0,101.415886,0.962127,97.574997,27.646000
lod_4157_1,MISSION 2_115 kV/MISSION 2 0/MISSION 2_115 kV/MISSI_1/115.000000,MISSION 2 0,108.790108,0.962128,104.669998,29.656000
lod_4079_1,MISSION 3_115 kV/MISSION 3 0/MISSION 3_115 kV/MISSI_1/115.000000,MISSION 3 0,177.952560,0.962127,171.212997,48.509998
lod_4040_1,MISSION 4_115 kV/MISSION 4 1/MISSION 4_115 kV/MISSI_1/115.000000,MISSION 4 1,234.546051,0.962127,225.662994,63.938000
lod_4023_1,MOORE_115 kV/MOORE 0/MOORE_115 kV/MOORE_1/115.000000,MOORE 0,5.263394,0.962117,5.064000,1.435000
lod_4099_1,ODEM_115 kV/ODEM 0/ODEM_115 kV/ODEM__1/115.000000,ODEM 0,15.765184,0.962120,15.168000,4.298000
lod_4102_1,OLMITO_115 kV/OLMITO 0/OLMITO_115 kV/OLMIT_1/115.000000,OLMITO 0,25.119459,0.962123,24.167999,6.848000
lod_4144_1,ORANGE GROVE_115 kV/ORANGE GROVE 0/ORANGE GROVE_115 kV/ORANG_1/115.000000,ORANGE GROVE 0,16.999786,0.962130,16.356001,4.634000
lod_4132_1,PEARSALL_115 kV/PEARSALL 1/PEARSALL_115 kV/PEARS_1/115.000000,PEARSALL 1,34.395580,0.962129,33.092999,9.376000
lod_4154_1,PENITAS_115 kV/PENITAS 0/PENITAS_115 kV/PENIT_1/115.000000,PENITAS 0,27.361330,0.962124,26.325001,7.459000
lod_4125_1,PETTUS_115 kV/PETTUS 0/PETTUS_115 kV/PETTU_1/115.000000,PETTUS 0,4.680297,0.962118,4.503000,1.276000
lod_4088_1,PHARR_115 kV/PHARR 0/PHARR_115 kV/PHARR_1/115.000000,PHARR 0,220.885666,0.962127,212.520004,60.214001
lod_4172_1,PLEASANTON_115 kV/PLEASANTON 0/PLEASANTON_115 kV/PLEAS_1/115.000000,PLEASANTON 0,43.971420,0.962125,42.306000,11.987000
lod_4180_1,PORT ARANSAS_115 kV/PORT ARANSAS 0/PORT ARANSAS_115 kV/PORT _1/115.000000,PORT ARANSAS 0,11.178293,0.962133,10.755000,3.047000
lod_4106_1,PORT ISABEL_115 kV/PORT ISABEL 0/PORT ISABEL_115 kV/PORT _1/115.000000,PORT ISABEL 0,39.026154,0.962124,37.548000,10.639000
lod_4145_1,PORTLAND_115 kV/PORTLAND 0/PORTLAND_115 kV/PORTL_1/115.000000,PORTLAND 0,51.822697,0.962127,49.860001,14.127000
lod_4008_1,POTEET_115 kV/POTEET 0/POTEET_115 kV/POTEE_1/115.000000,POTEET 0,33.771965,0.962129,32.493000,9.206000
lod_4129_1,PREMONT_115 kV/PREMONT 0/PREMONT_115 kV/PREMO_1/115.000000,PREMONT 0,5.487843,0.962127,5.280000,1.496000
lod_4129_2,PREMONT_115 kV/PREMONT 0/PREMONT_115 kV/PREMO_1/115.000000,PREMONT 0,1.727450,0.962112,1.662000,0.471000
lod_4129_3,PREMONT_115 kV/PREMONT 0/PREMONT_115 kV/PREMO_1/115.000000,PREMONT 0,1.574569,0.962168,1.515000,0.429000
lod_4129_4,PREMONT_115 kV/PREMONT 0/PREMONT_115 kV/PREMO_1/115.000000,PREMONT 0,10.451791,0.962132,10.056000,2.849000
lod_4012_1,PROGRESO_115 kV/PROGRESO 0/PROGRESO_115 kV/PROGR_1/115.000000,PROGRESO 0,14.280863,0.962127,13.740000,3.893000
lod_4188_1,QUEMADO_115 kV/QUEMADO 0/QUEMADO_115 kV/QUEMA_1/115.000000,QUEMADO 0,3.083889,0.962097,2.967000,0.841000
lod_4191_1,RAYMONDVILLE_115 kV/RAYMONDVILLE 0/RAYMONDVILLE_115 kV/RAYMO_1/115.000000,RAYMONDVILLE 0,1.605886,0.962086,1.545000,0.438000
lod_4191_2,RAYMONDVILLE_115 kV/RAYMONDVILLE 0/RAYMONDVILLE_115 kV/RAYMO_1/115.000000,RAYMONDVILLE 0,46.656139,0.962124,44.889000,12.719000
lod_4173_1,REFUGIO_115 kV/REFUGIO 0/REFUGIO_115 kV/REFUG_1/115.000000,REFUGIO 0,0.614142,0.962319,0.591000,0.167000
lod_4173_2,REFUGIO_115 kV/REFUGIO 0/REFUGIO_115 kV/REFUG_1/115.000000,REFUGIO 0,11.914272,0.962123,11.463000,3.248000
lod_4128_1,RIO GRANDE CITY_115 kV/RIO GRANDE CITY 0/RIO GRANDE CITY_115 kV/RIO G_1/115.000000,RIO GRANDE CITY 0,2.232663,0.962080,2.148000,0.609000
lod_4128_2,RIO GRANDE CITY_115 kV/RIO GRANDE CITY 0/RIO GRANDE CITY_115 kV/RIO G_1/115.000000,RIO GRANDE CITY 0,126.142494,0.962126,121.364998,34.387001
lod_4086_1,RIO HONDO_115 kV/RIO HONDO 0/RIO HONDO_115 kV/RIO H_1/115.000000,RIO HONDO 0,20.651247,0.962121,19.868999,5.630000
lod_4112_1,RIVIERA_115 kV/RIVIERA 0/RIVIERA_115 kV/RIVIE_1/115.000000,RIVIERA 0,5.805970,0.962113,5.586000,1.583000
lod_4149_1,ROCKPORT_115 kV/ROCKPORT 0/ROCKPORT_115 kV/ROCKP_1/115.000000,ROCKPORT 0,1.181716,0.962160,1.137000,0.322000
lod_4149_2,ROCKPORT_115 kV/ROCKPORT 0/ROCKPORT_115 kV/ROCKP_1/115.000000,ROCKPORT 0,62.589455,0.962127,60.219002,17.062000
lod_4119_1,ROMA_115 kV/ROMA 0/ROMA_115 kV/ROMA__1/115.000000,ROMA 0,1.234874,0.962042,1.188000,0.337000
lod_4119_2,ROMA_115 kV/ROMA 0/ROMA_115 kV/ROMA__1/115.000000,ROMA 0,56.524834,0.962126,54.383999,15.409000
lod_4171_1,SAN BENITO_115 kV/SAN BENITO 0/SAN BENITO_115 kV/SAN B_1/115.000000,SAN BENITO 0,174.232681,0.962127,167.634003,47.495998
lod_4179_1,SAN DIEGO_115 kV/SAN DIEGO 0/SAN DIEGO_115 kV/SAN D_1/115.000000,SAN DIEGO 0,20.704134,0.962127,19.920000,5.644000
lod_4042_1,SAN JUAN_115 kV/SAN JUAN 1/SAN JUAN_115 kV/SAN J_1/115.000000,SAN JUAN 1,105.148392,0.962126,101.166000,28.664000
lod_4042_2,SAN JUAN_115 kV/SAN JUAN 1/SAN JUAN_115 kV/SAN J_1/115.000000,SAN JUAN 1,118.499878,0.962128,114.012001,32.303001
lod_4031_1,SAN YGNACIO_115 kV/SAN YGNACIO 0/SAN YGNACIO_115 kV/SAN Y_1/115.000000,SAN YGNACIO 0,2.856282,0.962090,2.748000,0.779000
lod_4139_1,SANDIA_115 kV/SANDIA 0/SANDIA_115 kV/SANDI_1/115.000000,SANDIA 0,11.034887,0.962130,10.617000,3.008000
lod_4121_1,SANTA MARIA_115 kV/SANTA MARIA 0/SANTA MARIA_115 kV/SANTA_1/115.000000,SANTA MARIA 0,4.268764,0.962105,4.107000,1.164000
lod_4089_1,SANTA ROSA 1_115 kV/SANTA ROSA 1 0/SANTA ROSA 1_115 kV/SANTA_1/115.000000,SANTA ROSA 1 0,8.942743,0.962121,8.604000,2.438000
lod_4186_1,SANTA ROSA 2_115 kV/SANTA ROSA 2 0/SANTA ROSA 2_115 kV/SANTA_1/115.000000,SANTA ROSA 2 0,18.799074,0.962122,18.087000,5.125000
lod_4186_2,SANTA ROSA 2_115 kV/SANTA ROSA 2 0/SANTA ROSA 2_115 kV/SANTA_1/115.000000,SANTA ROSA 2 0,19.718708,0.962132,18.972000,5.375000
lod_4037_1,SINTON_115 kV/SINTON 0/SINTON_115 kV/SINTO_1/115.000000,SINTON 0,29.852644,0.962126,28.722000,8.138000
lod_4054_1,SKIDMORE_115 kV/SKIDMORE 0/SKIDMORE_115 kV/SKIDM_1/115.000000,SKIDMORE 0,5.818333,0.962131,5.598000,1.586000
lod_4155_1,SULLIVAN CITY_115 kV/SULLIVAN CITY 0/SULLIVAN CITY_115 kV/SULLI_1/115.000000,SULLIVAN CITY 0,1.253555,0.962064,1.206000,0.342000
lod_4155_2,SULLIVAN CITY_115 kV/SULLIVAN CITY 0/SULLIVAN CITY_115 kV/SULLI_1/115.000000,SULLIVAN CITY 0,18.964321,0.962122,18.246000,5.170000
lod_4182_1,TAFT 1_115 kV/TAFT 1 1/TAFT 1_115 kV/TAFT _1/115.000000,TAFT 1 1,23.572777,0.962127,22.680000,6.426000
lod_4148_1,THREE RIVERS_115 kV/THREE RIVERS 0/THREE RIVERS_115 kV/THREE_1/115.000000,THREE RIVERS 0,1.574569,0.962168,1.515000,0.429000
lod_4148_2,THREE RIVERS_115 kV/THREE RIVERS 0/THREE RIVERS_115 kV/THREE_1/115.000000,THREE RIVERS 0,0.392852,0.962193,0.378000,0.107000
lod_4148_3,THREE RIVERS_115 kV/THREE RIVERS 0/THREE RIVERS_115 kV/THREE_1/115.000000,THREE RIVERS 0,13.245711,0.962123,12.744000,3.611000
lod_4066_1,WESLACO_115 kV/WESLACO 0/WESLACO_115 kV/WESLA_1/115.000000,WESLACO 0,199.071381,0.962127,191.531998,54.266998
lod_4018_1,WOODSBORO_115 kV/WOODSBORO 0/WOODSBORO_115 kV/WOODS_1/115.000000,WOODSBORO 0,7.417901,0.962132,7.137000,2.022000
lod_4185_1,ZAPATA_115 kV/ZAPATA 0/ZAPATA_115 kV/ZAPAT_1/115.000000,ZAPATA 0,39.325325,0.962128,37.835999,10.720000
lod_5474_1,ABBOTT_161 kV/ABBOTT 0/ABBOTT_161 kV/ABBOT_1/161.000000,ABBOTT 0,3.233339,0.962163,3.111000,0.881000
lod_5111_1,ADDISON_161 kV/ADDISON 0/ADDISON_161 kV/ADDIS_1/161.000000,ADDISON 0,38.708027,0.962126,37.242001,10.552000
lod_5008_1,ALBANY 2_161 kV/ALBANY 2 0/ALBANY 2_161 kV/ALBAN_1/161.000000,ALBANY 2 0,7.894956,0.962133,7.596000,2.152000
lod_5022_1,ALEDO 1_161 kV/ALEDO 1 1/ALEDO 1_161 kV/ALEDO_1/161.000000,ALEDO 1 1,145.758331,0.962127,140.238007,39.734001
lod_5306_1,ALEDO 2_161 kV/ALEDO 2 0/ALEDO 2_161 kV/ALEDO_1/161.000000,ALEDO 2 0,42.412373,0.962125,40.806000,11.562000
lod_5305_1,ALLEN 1_161 kV/ALLEN 1 1/ALLEN 1_161 kV/ALLEN_1/161.000000,ALLEN 1 1,196.876343,0.962127,189.419998,53.668999
lod_5357_1,ALLEN 2_161 kV/ALLEN 2 0/ALLEN 2_161 kV/ALLEN_1/161.000000,ALLEN 2 0,94.624763,0.962127,91.041000,25.795000
lod_5475_1,ALVARADO_161 kV/ALVARADO 0/ALVARADO_161 kV/ALVAR_1/161.000000,ALVARADO 0,61.610348,0.962127,59.277000,16.795000
lod_5455_1,ALVORD_161 kV/ALVORD 0/ALVORD_161 kV/ALVOR_1/161.000000,ALVORD 0,9.840809,0.962116,9.468000,2.683000
lod_5141_1,ANNA_161 kV/ANNA 0/ANNA_161 kV/ANNA__1/161.000000,ANNA 0,10.280228,0.962138,9.891000,2.802000
lod_5141_2,ANNA_161 kV/ANNA 0/ANNA_161 kV/ANNA__1/161.000000,ANNA 0,36.890057,0.962129,35.493000,10.056000
lod_5195_1,ARGYLE_161 kV/ARGYLE 0/ARGYLE_161 kV/ARGYL_1/161.000000,ARGYLE 0,57.432102,0.962127,55.257000,15.656000
lod_5064_1,ARLINGTON 1_161 kV/ARLINGTON 1 1/ARLINGTON 1_161 kV/ARLIN_1/161.000000,ARLINGTON 1 1,80.100769,0.962126,77.067001,21.836000
lod_5409_1,ARLINGTON 10_161 kV/ARLINGTON 10 0/ARLINGTON 10_161 kV/ARLIN_1/161.000000,ARLINGTON 10 0,96.199333,0.962127,92.556000,26.224001
lod_5447_1,ARLINGTON 11_161 kV/ARLINGTON 11 0/ARLINGTON 11_161 kV/ARLIN_1/161.000000,ARLINGTON 11 0,21.090668,0.962132,20.292000,5.749000
lod_5447_2,ARLINGTON 11_161 kV/ARLINGTON 11 0/ARLINGTON 11_161 kV/ARLIN_1/161.000000,ARLINGTON 11 0,139.453461,0.962127,134.171997,38.014999
lod_5287_1,ARLINGTON 2_161 kV/ARLINGTON 2 0/ARLINGTON 2_161 kV/ARLIN_1/161.000000,ARLINGTON 2 0,15.755707,0.962128,15.159000,4.295000
lod_5287_2,ARLINGTON 2_161 kV/ARLINGTON 2 0/ARLINGTON 2_161 kV/ARLIN_1/161.000000,ARLINGTON 2 0,94.381630,0.962126,90.806999,25.729000
