Nombre,Subestacion_i,Nodo_i,Subestacion_j,Nodo_j,V_nom[kV],Longitud [km],R[Ohm/km],R[pu],X[Ohm/km],X[pu],C[uF/km],R0[Ohm/km],X0[Ohm/km],C0[uF/km],I_nominal [kA],Carga_maxima [%],Fuera_servicio
lne_4005_4114_1,LAREDO 7_115 kV/LAREDO 7 1/LAREDO 7_115 kV/LARED_1/115.000000,LAREDO 7 1,LAREDO 1_115 kV/LAREDO 1 1/LAREDO 1_115 kV/LARED_1/115.000000,LAREDO 1 1,115.000000,1.000000,2.630453,0.019890,15.026240,0.113620,0.342379,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4006_4011_1,BRUNI 2_115 kV/BRUNI 2 0/BRUNI 2_115 kV/BRUNI_1/115.000000,BRUNI 2 0,HEBBRONVILLE_115 kV/HEBBRONVILLE 0/HEBBRONVILLE_115 kV/HEBBR_1/115.000000,HEBBRONVILLE 0,115.000000,1.000000,3.557525,0.026900,15.560530,0.117660,0.359427,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4006_4197_1,BRUNI 2_115 kV/BRUNI 2 0/BRUNI 2_115 kV/BRUNI_1/115.000000,BRUNI 2 0,OILTON_115 kV/OILTON 2/OILTON_115 kV/OILTO_1/115.000000,OILTON 2,115.000000,1.000000,0.825240,0.006240,5.744940,0.043440,0.142407,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4007_4027_1,MCALLEN 2_115 kV/MCALLEN 2 0/MCALLEN 2_115 kV/MCALL_1/115.000000,MCALLEN 2 0,MCALLEN 3_115 kV/MCALLEN 3 0/MCALLEN 3_115 kV/MCALL_1/115.000000,MCALLEN 3 0,115.000000,1.000000,0.460230,0.003480,2.762702,0.020890,0.056963,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4007_4034_1,MCALLEN 2_115 kV/MCALLEN 2 0/MCALLEN 2_115 kV/MCALL_1/115.000000,MCALLEN 2 0,HIDALGO_115 kV/HIDALGO 0/HIDALGO_115 kV/HIDAL_1/115.000000,HIDALGO 0,115.000000,1.000000,1.154542,0.008730,5.147170,0.038920,0.114527,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4007_4122_1,MCALLEN 2_115 kV/MCALLEN 2 0/MCALLEN 2_115 kV/MCALL_1/115.000000,MCALLEN 2 0,MCALLEN 1_115 kV/MCALLEN 1 0/MCALLEN 1_115 kV/MCALL_1/115.000000,MCALLEN 1 0,115.000000,1.000000,0.620252,0.004690,2.765347,0.020910,0.061576,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4008_6112_1,POTEET_115 kV/POTEET 0/POTEET_115 kV/POTEE_1/115.000000,POTEET 0,NATALIA_115 kV/NATALIA 0/NATALIA_115 kV/NATAL_1/115.000000,NATALIA 0,115.000000,1.000000,1.802568,0.013630,10.291700,0.077820,0.234470,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4008_6346_1,POTEET_115 kV/POTEET 0/POTEET_115 kV/POTEE_1/115.000000,POTEET 0,LEMING_115 kV/LEMING 0/LEMING_115 kV/LEMIN_1/115.000000,LEMING 0,115.000000,1.000000,1.552615,0.011740,6.915353,0.052290,0.153840,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4009_4152_1,SARITA 3_115 kV/SARITA 3 0/SARITA 3_115 kV/SARIT_1/115.000000,SARITA 3 0,ARMSTRONG 1_115 kV/ARMSTRONG 1 1/ARMSTRONG 1_115 kV/ARMST_1/115.000000,ARMSTRONG 1 1,115.000000,1.000000,0.716795,0.005420,4.626105,0.034980,0.133782,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4009_4152_2,SARITA 3_115 kV/SARITA 3 0/SARITA 3_115 kV/SARIT_1/115.000000,SARITA 3 0,ARMSTRONG 1_115 kV/ARMSTRONG 1 1/ARMSTRONG 1_115 kV/ARMST_1/115.000000,ARMSTRONG 1 1,115.000000,1.000000,0.716795,0.005420,4.626105,0.034980,0.133782,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4009_4165_1,SARITA 3_115 kV/SARITA 3 0/SARITA 3_115 kV/SARIT_1/115.000000,SARITA 3 0,SARITA 2_115 kV/SARITA 2 0/SARITA 2_115 kV/SARIT_1/115.000000,SARITA 2 0,115.000000,1.000000,0.416588,0.003150,2.687320,0.020320,0.077822,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4009_4165_2,SARITA 3_115 kV/SARITA 3 0/SARITA 3_115 kV/SARIT_1/115.000000,SARITA 3 0,SARITA 2_115 kV/SARITA 2 0/SARITA 2_115 kV/SARIT_1/115.000000,SARITA 2 0,115.000000,1.000000,0.416588,0.003150,2.687320,0.020320,0.077822,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4011_4185_1,HEBBRONVILLE_115 kV/HEBBRONVILLE 0/HEBBRONVILLE_115 kV/HEBBR_1/115.000000,HEBBRONVILLE 0,ZAPATA_115 kV/ZAPATA 0/ZAPATA_115 kV/ZAPAT_1/115.000000,ZAPATA 0,115.000000,1.000000,4.115620,0.031120,18.005840,0.136150,0.415789,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4012_4034_1,PROGRESO_115 kV/PROGRESO 0/PROGRESO_115 kV/PROGR_1/115.000000,PROGRESO 0,HIDALGO_115 kV/HIDALGO 0/HIDALGO_115 kV/HIDAL_1/115.000000,HIDALGO 0,115.000000,1.000000,2.149062,0.016250,12.906280,0.097590,0.265559,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4012_4103_1,PROGRESO_115 kV/PROGRESO 0/PROGRESO_115 kV/PROGR_1/115.000000,PROGRESO 0,EDINBURG 1_115 kV/EDINBURG 1 0/EDINBURG 1_115 kV/EDINB_1/115.000000,EDINBURG 1 0,115.000000,1.000000,3.286412,0.024850,18.768921,0.141920,0.427823,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4012_4121_1,PROGRESO_115 kV/PROGRESO 0/PROGRESO_115 kV/PROGR_1/115.000000,PROGRESO 0,SANTA MARIA_115 kV/SANTA MARIA 0/SANTA MARIA_115 kV/SANTA_1/115.000000,SANTA MARIA 0,115.000000,1.000000,1.713960,0.012960,10.290370,0.077810,0.211805,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4012_4171_1,PROGRESO_115 kV/PROGRESO 0/PROGRESO_115 kV/PROGR_1/115.000000,PROGRESO 0,SAN BENITO_115 kV/SAN BENITO 0/SAN BENITO_115 kV/SAN B_1/115.000000,SAN BENITO 0,115.000000,1.000000,3.308895,0.025020,14.748520,0.111520,0.327937,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4013_4089_1,EDINBURG 2_115 kV/EDINBURG 2 0/EDINBURG 2_115 kV/EDINB_1/115.000000,EDINBURG 2 0,SANTA ROSA 1_115 kV/SANTA ROSA 1 0/SANTA ROSA 1_115 kV/SANTA_1/115.000000,SANTA ROSA 1 0,115.000000,1.000000,1.900432,0.014370,12.274120,0.092810,0.355215,0.000000,0.000000,0.000000,1.255109,100.000000,0.000000
lne_4013_4107_1,EDINBURG 2_115 kV/EDINBURG 2 0/EDINBURG 2_115 kV/EDINB_1/115.000000,EDINBURG 2 0,DONNA_115 kV/DONNA 0/DONNA_115 kV/DONNA_1/115.000000,DONNA 0,115.000000,1.000000,3.468918,0.026230,8.481193,0.064130,0.168482,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4013_4122_1,EDINBURG 2_115 kV/EDINBURG 2 0/EDINBURG 2_115 kV/EDINB_1/115.000000,EDINBURG 2 0,MCALLEN 1_115 kV/MCALLEN 1 0/MCALLEN 1_115 kV/MCALL_1/115.000000,MCALLEN 1 0,115.000000,1.000000,0.412620,0.003120,2.359340,0.017840,0.053754,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4014_4131_1,EAGLE PASS_230 kV/EAGLE PASS 0/EAGLE PASS_230 kV/EAGLE_1/230.000000,EAGLE PASS 0,PEARSALL_230 kV/PEARSALL 0/PEARSALL_230 kV/PEARS_1/230.000000,PEARSALL 0,230.000000,1.000000,8.829011,0.016690,63.088539,0.119260,1.090317,0.000000,0.000000,0.000000,1.112027,100.000000,0.000000
lne_4015_4188_1,EAGLE PASS_115 kV/EAGLE PASS 1/EAGLE PASS_115 kV/EAGLE_1/115.000000,EAGLE PASS 1,QUEMADO_115 kV/QUEMADO 0/QUEMADO_115 kV/QUEMA_1/115.000000,QUEMADO 0,115.000000,1.000000,4.679005,0.035380,28.093870,0.212430,0.578253,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4016_4023_1,CHARLOTTE_115 kV/CHARLOTTE 0/CHARLOTTE_115 kV/CHARL_1/115.000000,CHARLOTTE 0,MOORE_115 kV/MOORE 0/MOORE_115 kV/MOORE_1/115.000000,MOORE 0,115.000000,1.000000,1.624030,0.012280,9.752115,0.073740,0.200774,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4016_4117_1,CHARLOTTE_115 kV/CHARLOTTE 0/CHARLOTTE_115 kV/CHARL_1/115.000000,CHARLOTTE 0,JOURDANTON_115 kV/JOURDANTON 0/JOURDANTON_115 kV/JOURD_1/115.000000,JOURDANTON 0,115.000000,1.000000,2.260153,0.017090,9.376525,0.070900,0.241290,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4017_4081_1,CORPUS CHRISTI 4_115 kV/CORPUS CHRISTI 4 0/CORPUS CHRISTI 4_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 4 0,CORPUS CHRISTI 3_115 kV/CORPUS CHRISTI 3 1/CORPUS CHRISTI 3_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 3 1,115.000000,1.000000,0.286983,0.002170,2.003588,0.015150,0.049742,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4017_4081_2,CORPUS CHRISTI 4_115 kV/CORPUS CHRISTI 4 0/CORPUS CHRISTI 4_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 4 0,CORPUS CHRISTI 3_115 kV/CORPUS CHRISTI 3 1/CORPUS CHRISTI 3_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 3 1,115.000000,1.000000,0.286983,0.002170,2.003588,0.015150,0.049742,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4017_4087_1,CORPUS CHRISTI 4_115 kV/CORPUS CHRISTI 4 0/CORPUS CHRISTI 4_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 4 0,CORPUS CHRISTI 5_115 kV/CORPUS CHRISTI 5 0/CORPUS CHRISTI 5_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 5 0,115.000000,1.000000,0.751180,0.005680,3.347248,0.025310,0.074413,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4017_4123_1,CORPUS CHRISTI 4_115 kV/CORPUS CHRISTI 4 0/CORPUS CHRISTI 4_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 4 0,CORPUS CHRISTI 7_115 kV/CORPUS CHRISTI 7 0/CORPUS CHRISTI 7_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 7 0,115.000000,1.000000,0.650670,0.004920,4.530885,0.034260,0.112321,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4018_4037_1,WOODSBORO_115 kV/WOODSBORO 0/WOODSBORO_115 kV/WOODS_1/115.000000,WOODSBORO 0,SINTON_115 kV/SINTON 0/SINTON_115 kV/SINTO_1/115.000000,SINTON 0,115.000000,1.000000,1.813147,0.013710,8.076508,0.061070,0.179714,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4018_4149_1,WOODSBORO_115 kV/WOODSBORO 0/WOODSBORO_115 kV/WOODS_1/115.000000,WOODSBORO 0,ROCKPORT_115 kV/ROCKPORT 0/ROCKPORT_115 kV/ROCKP_1/115.000000,ROCKPORT 0,115.000000,1.000000,1.946720,0.014720,8.676922,0.065610,0.192952,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4019_4067_1,MERCEDES_115 kV/MERCEDES 0/MERCEDES_115 kV/MERCE_1/115.000000,MERCEDES 0,HARLINGEN 1_115 kV/HARLINGEN 1 0/HARLINGEN 1_115 kV/HARLI_1/115.000000,HARLINGEN 1 0,115.000000,1.000000,1.215377,0.009190,8.300011,0.062760,0.214212,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4019_4067_2,MERCEDES_115 kV/MERCEDES 0/MERCEDES_115 kV/MERCE_1/115.000000,MERCEDES 0,HARLINGEN 1_115 kV/HARLINGEN 1 0/HARLINGEN 1_115 kV/HARLI_1/115.000000,HARLINGEN 1 0,115.000000,1.000000,1.215377,0.009190,8.300011,0.062760,0.214212,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4019_4121_1,MERCEDES_115 kV/MERCEDES 0/MERCEDES_115 kV/MERCE_1/115.000000,MERCEDES 0,SANTA MARIA_115 kV/SANTA MARIA 0/SANTA MARIA_115 kV/SANTA_1/115.000000,SANTA MARIA 0,115.000000,1.000000,2.679385,0.020260,6.549020,0.049520,0.129972,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4020_4051_1,CORPUS CHRISTI 16_115 kV/CORPUS CHRISTI 16 0/CORPUS CHRISTI 16_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 16 0,BISHOP_115 kV/BISHOP 0/BISHOP_115 kV/BISHO_1/115.000000,BISHOP 0,115.000000,1.000000,2.118645,0.016020,14.474760,0.109450,0.373468,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4020_4051_2,CORPUS CHRISTI 16_115 kV/CORPUS CHRISTI 16 0/CORPUS CHRISTI 16_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 16 0,BISHOP_115 kV/BISHOP 0/BISHOP_115 kV/BISHO_1/115.000000,BISHOP 0,115.000000,1.000000,2.118645,0.016020,14.474760,0.109450,0.373468,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4020_4123_1,CORPUS CHRISTI 16_115 kV/CORPUS CHRISTI 16 0/CORPUS CHRISTI 16_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 16 0,CORPUS CHRISTI 7_115 kV/CORPUS CHRISTI 7 0/CORPUS CHRISTI 7_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 7 0,115.000000,1.000000,1.061967,0.008030,4.730582,0.035770,0.105301,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4020_4150_1,CORPUS CHRISTI 16_115 kV/CORPUS CHRISTI 16 0/CORPUS CHRISTI 16_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 16 0,CORPUS CHRISTI 15_115 kV/CORPUS CHRISTI 15 0/CORPUS CHRISTI 15_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 15 0,115.000000,1.000000,0.552805,0.004180,3.851120,0.029120,0.095473,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4020_4150_2,CORPUS CHRISTI 16_115 kV/CORPUS CHRISTI 16 0/CORPUS CHRISTI 16_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 16 0,CORPUS CHRISTI 15_115 kV/CORPUS CHRISTI 15 0/CORPUS CHRISTI 15_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 15 0,115.000000,1.000000,0.552805,0.004180,3.851120,0.029120,0.095473,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4021_4089_1,EDCOUCH_115 kV/EDCOUCH 0/EDCOUCH_115 kV/EDCOU_1/115.000000,EDCOUCH 0,SANTA ROSA 1_115 kV/SANTA ROSA 1 0/SANTA ROSA 1_115 kV/SANTA_1/115.000000,SANTA ROSA 1 0,115.000000,1.000000,1.612128,0.012190,7.047603,0.053290,0.162866,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4021_4167_1,EDCOUCH_115 kV/EDCOUCH 0/EDCOUCH_115 kV/EDCOU_1/115.000000,EDCOUCH 0,HARGILL_115 kV/HARGILL 0/HARGILL_115 kV/HARGI_1/115.000000,HARGILL 0,115.000000,1.000000,1.276213,0.009650,5.685427,0.042990,0.126361,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4022_4187_1,ENCINAL_115 kV/ENCINAL 0/ENCINAL_115 kV/ENCIN_1/115.000000,ENCINAL 0,COTULLA_115 kV/COTULLA 0/COTULLA_115 kV/COTUL_1/115.000000,COTULLA 0,115.000000,1.000000,3.307573,0.025010,13.722260,0.103760,0.353210,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4024_4131_1,CHRISTINE_230 kV/CHRISTINE 0/CHRISTINE_230 kV/CHRIS_1/230.000000,CHRISTINE 0,PEARSALL_230 kV/PEARSALL 0/PEARSALL_230 kV/PEARS_1/230.000000,PEARSALL 0,230.000000,1.000000,3.232190,0.006110,31.602461,0.059740,0.576398,0.000000,0.000000,0.000000,1.624112,100.000000,0.000000
lne_4025_4117_1,CHRISTINE_115 kV/CHRISTINE 1/CHRISTINE_115 kV/CHRIS_1/115.000000,CHRISTINE 1,JOURDANTON_115 kV/JOURDANTON 0/JOURDANTON_115 kV/JOURD_1/115.000000,JOURDANTON 0,115.000000,1.000000,0.406007,0.003070,2.619873,0.019810,0.075817,0.000000,0.000000,0.000000,1.305314,100.000000,0.000000
lne_4027_4088_1,MCALLEN 3_115 kV/MCALLEN 3 0/MCALLEN 3_115 kV/MCALL_1/115.000000,MCALLEN 3 0,PHARR_115 kV/PHARR 0/PHARR_115 kV/PHARR_1/115.000000,PHARR 0,115.000000,1.000000,0.365010,0.002760,2.490267,0.018830,0.064183,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4027_4088_2,MCALLEN 3_115 kV/MCALLEN 3 0/MCALLEN 3_115 kV/MCALL_1/115.000000,MCALLEN 3 0,PHARR_115 kV/PHARR 0/PHARR_115 kV/PHARR_1/115.000000,PHARR 0,115.000000,1.000000,0.365010,0.002760,2.490267,0.018830,0.064183,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4028_7043_1,FANNIN_230 kV/FANNIN 0/FANNIN_230 kV/FANNI_1/230.000000,FANNIN 0,VICTORIA 2_230 kV/VICTORIA 2 1/VICTORIA 2_230 kV/VICTO_1/230.000000,VICTORIA 2 1,230.000000,1.000000,1.512940,0.002860,10.818050,0.020450,0.186934,0.000000,0.000000,0.000000,1.112027,100.000000,0.000000
lne_4028_7274_1,FANNIN_230 kV/FANNIN 0/FANNIN_230 kV/FANNI_1/230.000000,FANNIN 0,VICTORIA 3_230 kV/VICTORIA 3 0/VICTORIA 3_230 kV/VICTO_1/230.000000,VICTORIA 3 0,230.000000,1.000000,0.148120,0.000280,1.560550,0.002950,0.050444,0.000000,0.000000,0.000000,1.882664,100.000000,0.000000
lne_4028_7274_2,FANNIN_230 kV/FANNIN 0/FANNIN_230 kV/FANNI_1/230.000000,FANNIN 0,VICTORIA 3_230 kV/VICTORIA 3 0/VICTORIA 3_230 kV/VICTO_1/230.000000,VICTORIA 3 0,230.000000,1.000000,0.148120,0.000280,1.560550,0.002950,0.050444,0.000000,0.000000,0.000000,1.882664,100.000000,0.000000
lne_4029_6253_1,FANNIN_115 kV/FANNIN 1/FANNIN_115 kV/FANNI_1/115.000000,FANNIN 1,YORKTOWN_115 kV/YORKTOWN 0/YORKTOWN_115 kV/YORKT_1/115.000000,YORKTOWN 0,115.000000,1.000000,1.588322,0.012010,10.262600,0.077600,0.296849,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4031_4043_1,SAN YGNACIO_115 kV/SAN YGNACIO 0/SAN YGNACIO_115 kV/SAN Y_1/115.000000,SAN YGNACIO 0,FALCON HEIGHTS 2_115 kV/FALCON HEIGHTS 2 0/FALCON HEIGHTS 2_115 kV/FALCO_1/115.000000,FALCON HEIGHTS 2 0,115.000000,1.000000,5.450023,0.041210,23.842030,0.180280,0.550775,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4031_4147_1,SAN YGNACIO_115 kV/SAN YGNACIO 0/SAN YGNACIO_115 kV/SAN Y_1/115.000000,SAN YGNACIO 0,LAREDO 4_115 kV/LAREDO 4 1/LAREDO 4_115 kV/LARED_1/115.000000,LAREDO 4 1,115.000000,1.000000,2.715092,0.020530,11.876050,0.089800,0.274384,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4032_4051_1,KINGSVILLE_115 kV/KINGSVILLE 0/KINGSVILLE_115 kV/KINGS_1/115.000000,KINGSVILLE 0,BISHOP_115 kV/BISHOP 0/BISHOP_115 kV/BISHO_1/115.000000,BISHOP 0,115.000000,1.000000,2.789153,0.021090,6.816164,0.051540,0.135387,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4032_4141_1,KINGSVILLE_115 kV/KINGSVILLE 0/KINGSVILLE_115 kV/KINGS_1/115.000000,KINGSVILLE 0,SARITA 1_115 kV/SARITA 1 1/SARITA 1_115 kV/SARIT_1/115.000000,SARITA 1 1,115.000000,1.000000,2.553747,0.019310,11.380110,0.086050,0.253124,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4033_4101_1,LAREDO 6_115 kV/LAREDO 6 0/LAREDO 6_115 kV/LARED_1/115.000000,LAREDO 6 0,LAREDO 3_115 kV/LAREDO 3 0/LAREDO 3_115 kV/LARED_1/115.000000,LAREDO 3 0,115.000000,1.000000,0.476100,0.003600,2.116000,0.016000,0.060172,0.000000,0.000000,0.000000,0.753066,100.000000,0.000000
lne_4033_4147_1,LAREDO 6_115 kV/LAREDO 6 0/LAREDO 6_115 kV/LARED_1/115.000000,LAREDO 6 0,LAREDO 4_115 kV/LAREDO 4 1/LAREDO 4_115 kV/LARED_1/115.000000,LAREDO 4 1,115.000000,1.000000,1.301340,0.009840,9.064415,0.068540,0.224642,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4033_4147_2,LAREDO 6_115 kV/LAREDO 6 0/LAREDO 6_115 kV/LARED_1/115.000000,LAREDO 6 0,LAREDO 4_115 kV/LAREDO 4 1/LAREDO 4_115 kV/LARED_1/115.000000,LAREDO 4 1,115.000000,1.000000,1.301340,0.009840,9.064415,0.068540,0.224642,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4033_4190_1,LAREDO 6_115 kV/LAREDO 6 0/LAREDO 6_115 kV/LARED_1/115.000000,LAREDO 6 0,LAREDO 5_115 kV/LAREDO 5 0/LAREDO 5_115 kV/LARED_1/115.000000,LAREDO 5 0,115.000000,1.000000,0.525033,0.003970,2.179480,0.016480,0.056161,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
lne_4034_4154_1,HIDALGO_115 kV/HIDALGO 0/HIDALGO_115 kV/HIDAL_1/115.000000,HIDALGO 0,PENITAS_115 kV/PENITAS 0/PENITAS_115 kV/PENIT_1/115.000000,PENITAS 0,115.000000,1.000000,1.991685,0.015060,13.607200,0.102890,0.351204,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4035_4064_1,CORPUS CHRISTI 18_115 kV/CORPUS CHRISTI 18 0/CORPUS CHRISTI 18_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 18 0,CORPUS CHRISTI 2_115 kV/CORPUS CHRISTI 2 0/CORPUS CHRISTI 2_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 2 0,115.000000,1.000000,0.669185,0.005060,2.775928,0.020990,0.071404,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
